[0.00035078],[0.00048643],[0.16884693]
[0.00070118],[0.00097218],[0.1684875]
[0.00105118],[0.00145726],[0.168129]
[0.00140081],[0.00194168],[0.16777142]
[0.00175005],[0.00242542],[0.16741475]
[0.0020989],[0.0029085],[0.167059]
[0.00244737],[0.00339091],[0.16670417]
[0.00279545],[0.00387265],[0.16635025]
[0.00314316],[0.00435373],[0.16599723]
[0.00349048],[0.00483415],[0.16564513]
[0.00383742],[0.0053139],[0.16529392]
[0.00418397],[0.00579299],[0.16494362]
[0.00453015],[0.00627141],[0.16459422]
[0.00487594],[0.00674918],[0.16424571]
[0.00522136],[0.00722628],[0.1638981]
[0.00556639],[0.00770273],[0.16355138]
[0.00591105],[0.00817852],[0.16320555]
[0.00625533],[0.00865365],[0.16286061]
[0.00659923],[0.00912812],[0.16251656]
[0.00694275],[0.00960194],[0.16217339]
[0.00728589],[0.0100751],[0.1618311]
[0.00762866],[0.01054761],[0.16148969]
[0.00797105],[0.01101947],[0.16114915]
[0.00831307],[0.01149067],[0.16080949]
[0.00865471],[0.01196122],[0.1604707]
[0.00899598],[0.01243112],[0.16013278]
[0.00933687],[0.01290037],[0.15979573]
[0.00967738],[0.01336898],[0.15945954]
[0.01001753],[0.01383693],[0.15912421]
[0.0103573],[0.01430424],[0.15878975]
[0.0106967],[0.0147709],[0.15845614]
[0.01103573],[0.01523691],[0.15812339]
[0.01137438],[0.01570228],[0.1577915]
[0.01171267],[0.01616701],[0.15746045]
[0.01205058],[0.01663109],[0.15713026]
[0.01238813],[0.01709453],[0.15680091]
[0.0127253],[0.01755733],[0.1564724]
[0.01306211],[0.01801949],[0.15614474]
[0.01339855],[0.01848101],[0.15581793]
[0.01373462],[0.01894189],[0.15549194]
[0.01407032],[0.01940213],[0.1551668]
[0.01440565],[0.01986174],[0.15484249]
[0.01474062],[0.0203207],[0.15451901]
[0.01507522],[0.02077904],[0.15419636]
[0.01540946],[0.02123674],[0.15387454]
[0.01574333],[0.0216938],[0.15355355]
[0.01607684],[0.02215023],[0.15323337]
[0.01640998],[0.02260603],[0.15291402]
[0.01674276],[0.0230612],[0.15259549]
[0.01707517],[0.02351573],[0.15227778]
[0.01740723],[0.02396964],[0.15196088]
[0.01773892],[0.02442292],[0.15164479]
[0.01807024],[0.02487557],[0.15132951]
[0.01840121],[0.02532759],[0.15101505]
[0.01873181],[0.02577899],[0.15070138]
[0.01906206],[0.02622976],[0.15038853]
[0.01939194],[0.0266799],[0.15007647]
[0.01972147],[0.02712942],[0.14976522]
[0.02005063],[0.02757832],[0.14945476]
[0.02037944],[0.0280266],[0.1491451]
[0.02070789],[0.02847425],[0.14883623]
